# id	match	title	trigger	strength	summary	source
id	match	title	trigger	strength	summary	source
LTX2.3-22B_IC-LoRA-CrossView-Warp	LTX2.3-22B_IC-LoRA-CrossView-Warp	LTX相机轨迹	crossview	1.0	你给它一个视频和一个摄像机偏移（方位角/高程/） 距离），并且从新视角生成相同的场景。这是 用于LTX-Video 2.3（22B）的IC-LoRA中，包含两个参考视频：一个深度扭曲 你的视频（这里承载几何体）和原始视频本身（这个） 保持身份）。这些变形来自CrossViewWarp ComfyUI节点， 它使用了 Depth Anything输入。	https://huggingface.co/Cseti/LTX2.3-22B_IC-LoRA-CrossView-Warp
krea2_style_reference	krea2_style_reference	Krea2风格迁移		1.0	让你以参考图像的风格推断Krea2 Turbo模型。它通过AI Toolkit和实验性的Krea2参考图像训练器和Turbo训练适配器进行训练。它是基于多年来手工挑选的成千上万对风格对的训练。它被训练为处理1-2张参考图像。	https://huggingface.co/ostris/krea2_turbo_style_reference
Best_FaceID_v1.0_LoRA	Best_FaceID_v1.0_LoRA	人物身份参考	ref_t2v	1.0	保身份视频引用LoRA。给它一个参考 照片 + 文本提示，生成一个保持该人身份的视频。	https://huggingface.co/Alissonerdx/LTX-Best-Face-ID
Best_FaceID_CharacterSheet	Best_FaceID_CharacterSheet	角色资产参考	ref_t2v	1.0	保身份视频引用LoRA。给它一个参考 照片 + 文本提示，生成一个保持该人身份的视频。	https://huggingface.co/Alissonerdx/LTX-Best-Face-ID
LTX_2.3_Cinematic_Sci-fi-Cyberpunk_Style_LoRa	LTX_2.3_Cinematic_Sci-fi-Cyberpunk_Style_LoRa	赛博朋克科幻风格	C6b4rP8nk	1.0	营造出一种赛博朋克新黑色电影的视觉效果。它专为现实科幻风格的生成设计，融合了浓郁的城市氛围、霓虹灯闪烁的环境、高科技界面以及充满写实感的未来角色场景。它特别适合文本转视频生成。制作样视频的工作流程可以在这里找到。只需替换LoRA和提示词即可。所有示例视频均为文本转视频。不是图片转视频。这种风格中的角色常以黑客、士兵、商贩、旅行者以及受黑色电影启发的人物出现在密集的未来城市空间中穿梭。视觉识别强调湿润反光路面、雨痕斑斑的车窗、浓雾、烟雾、蒸汽、发光的青绿色界面元素、青橙色灯光、品红色霓虹招牌和高对比度阴影。等等。	https://huggingface.co/vrgamedevgirl84/LTX_2.3_Cinematic_Sci-fi-Cyberpunk_Style_LoRa
Krea-2-Edit-Outfit-Transfer	Krea-2-Edit-Outfit-Transfer	Krea2服装替换	transfer the outfit	1.0	从参考图像转印服装，支持 Krea 2 编辑工作流程，在应用参考服装时保持生成角色，女性服装的最佳效果	https://huggingface.co/AliveAi/Krea-2-Edit-Outfit-Transfer
LTX_2.3_90s_Animation_Style_LoRa	LTX_2.3_90s_Animation_Style_LoRa	90年代动画风格	9o4n1m	1.0	这款文字转视频的LoRA创造出疯狂、手绘的恶心动画效果。用于训练该LoRA的数据集未使用任何IP。这是一种夸张、怪诞的卡通风格，灵感来自1990年代恶心的动画美学，而非任何电视剧或电影中的静态画面、画面或画面。制作样板视频的工作流程可以在这里找到。	https://huggingface.co/vrgamedevgirl84/LTX_2.3_90s_Animation_Style_LoRa
LTX_2.3_Wild_West_Style_LoRa	LTX_2.3_Wild_West_Style_LoRa	狂野西部风格	W1ldW4st	1.0	营造出电影般的真实西部视频风格。这是一种基于文本转视频的边疆西部风格，而非任何电影、电视剧、游戏或现有系列的实际画面或画面。制作样视频的工作流程可以在这里找到。只需替换LoRA和提示词即可。所有示例视频均为文本转视频。不是图片转视频。角色、环境和动作都像是接地气的西部边疆画面。场景中出现了风化牛仔、亡命之徒、警长、牧场主和定居者，穿着符合时代的西部服饰、磨损的皮革装备、牛仔帽、满是灰尘的靴子、木制酒馆、边境小镇、沙漠平原、谷仓、马厩和崎岖的自然景观。游戏氛围尘土飞扬、晒得很酷、戏剧化且电影感十足，质感真实，环境叙事也很扎实。结果让人感觉像是一部现代高端西部片的场景，融合了沉浸式的边疆现实感和扎实的人性张力。主体、物体和环境在运动、摄像机运动和场景推进中保持了可信的西部荒野身份。灯光强调电影氛围、尘土氛围、温暖的夕阳色调、刺眼的正午阳光、灯笼照明的室内和戏剧性的叙事，同时保持了现实的写实西部风格。	https://huggingface.co/vrgamedevgirl84/LTX_2.3_Wild_West_Style_LoRa
LTX_2.3_Post_Apocalyptic_Style_LoRa	LTX_2.3_Post_Apocalyptic_Style_LoRa	末日废土风格	P0st4p0c0	1.0	营造出电影般的末日照片写实视频视觉效果。创建该LoRA的数据集未使用任何IP。它是一种基于文本转视频生成的基础末日生存风格，而非任何电影、电视剧、游戏或现有系列的实际画面或画面。制作样视频的工作流程可以在这里找到。只需替换LoRA和提示词即可。所有示例视频均为文本转视频。不是图片转视频。角色、环境和动作都像是接地气的末世生存画面。场景中展现了风化的幸存者、层层叠叠的实用衣物、拾荒装备、充满灰烬的空气、破败的内外、阴郁的氛围深度、粗犷逼真的质感以及电影般的构图。结果让人联想到一部现代高端末日生存电影的场景，环境叙事沉浸式，人性紧张感扎实。主体、物体和环境在运动、摄像机运动和场景推进中保持了可信的崩溃后身份。灯光强调电影氛围、阴郁氛围、环境深度和戏剧性叙事，同时保持现实的真实生存感。	https://huggingface.co/vrgamedevgirl84/LTX_2.3_Post_Apocalyptic_Style_LoRa
LTX_2.3_Luxe_Sensual_Style_LoRa	LTX_2.3_Luxe_Sensual_Style_LoRa	豪华感性风格	b0ud01r	1.0	专为LTX 2.3文本转视频设计，旨在提升感官、女性化视频的视觉质量。（所有示例视频均为文本转视频）它提升了光线、皮肤细节、面料质感和整体电影般的光泽效果，非常适合闺房风格、内衣和泳装内容。该模特强调优雅的感性而非露骨内容，采用讨喜的语调，以及适合高质量感官视频、Instagram风格短视频内容的高端社交媒体美学。重要提示。会有第二个版本，仅用9：16宽高比训练，风格相同，更适合人像视频。目前的LoRa可以运行，但有时会失败。敬请期待第二版。	https://huggingface.co/vrgamedevgirl84/LTX_2.3_Luxe_Sensual_Style_LoRa
