# 中文	English
一个女孩	1girl
一个女孩，一个男孩	1girl, 1boy
一个女孩，两个男孩	1girl, 2boys
一个男孩	1boy
一个男孩，两个女孩	1boy, 2girls
两个男孩	2boys
两个女孩	2girls
青少年	adolescent
天使与恶魔	angel and devil
天使	angel
芭蕾舞者	ballerina
巴拉	bara
兄妹	brother and sister
兔女郎	bunny girl
管家	butler
猫娘	cat girl
半人马	centaur
啦啦队队员	cheerleader
厨师	chef
萌娃	chibi
孩子	child
堂兄弟姐妹	cousins
牛女郎	cow girl
跨性别者	crossdressing
舞者	dancer
暗精灵	dark elf
魔女	demon girl
恶魔	devil
医生	doctor
狗娘	dog girl
娃娃	doll
龙娘	dragon girl
精灵	elf
仙子	fairy
女刺客	female assassin
女变态	female pervert
女战士	female warrior
女性	female
狐女	fox girl
兽人	furry
鬼魂	ghost
巨人	giantess
戴眼镜的	glasses
小妖精	goblin
女神	goddess
哥特萝莉	gothic lolita
御姐	gyaru
道馆馆主	gym leader
后宫	harem
马娘	horse girl
夫妻	husband and wife
偶像	idol
小妖精	imp
克/达（英雄联盟）	k/da (league of legends)
雾雨魔理沙角色扮演	kirisame marisa (cosplay)
九尾狐	kitsune
科加女孩	kogal
九尾妖狐	kyuubi
九条堂	kyuudou
萝莉	loli
长颈	long neck
魔法少女	magical girl
女仆	maid
男性	male
成熟女性	mature woman
机甲少女	mecha musume
美人鱼	mermaid
巫女	miko
熟女	milf
迷你女孩	minigirl
怪物	monster
母女	mother and daughter
母子	mother and son
忍者	ninja
无人类	no humans
修女	nun
护士	nurse
办公室女性	office lady
老妇人	old woman
胸部萝莉	oppai loli
兽人	orc
警察	police
女警	policewoman
牧师	priest
公主	princess
浣熊女孩	raccoon girl
赛跑女王	race queen
水手服战士	sailor senshi
少男	shota
兄妹	siblings
姐妹	sisters
独奏	solo
蜘蛛女孩	spider girl
青少年	teenage
女性	woman
双胞胎	twins
独特冰元素人形	unique ice-inspired humanoid
瓦尔基里	valkyrie
吸血鬼	vampire
沃雅基洛伊德	voyakiloid
和风萝莉	wa lolita
和风女仆	wa maid
侍应生	waitress
战士	warrior
巫师	witch
狼女孩	wolf girl
男男	yaoi
年轻女性	young woman
黏糊糊地说呢	yukkuri shiteitte ne
女女	yuri
手持	holding
斜眼	\||/
微笑	\m/
怒视	\n/
调整眼镜	adjusting eyewear
整理头发	adjusting hair
调整腿部衣物	adjusting legwear
调整内裤	adjusting panties
空吉他	air guitar
比划引号	air quotes
阿坎贝	akanbe
四肢着地	all fours
弓背	arched back
手臂绕颈	arm around neck
手臂抓取	arm grab
手臂被拉后	arm held back
手臂拥抱	arm hug
手臂支撑	arm support
手臂抬起	arm up
腋下偷看	armpit peek
腋下	armpits
双臂绕颈	arms around neck
双臂侧放	arms at sides
双手背在背后	arms behind back
双手抱头	arms behind head
双臂交叉	arms crossed
双臂抬起	arms up
背对背	back-to-back
平衡	balancing
拔刀术姿势	battoujutsu stance
招手	beckoning
腹部抓取	belly grab
弯腰	bent over
比基尼拉扯	bikini pull
鞠躬	bowing
束发	bunching hair
兔子姿势	bunny pose
蝴蝶坐姿	butterfly sitting
卡瑞姆尔丹森	caramelldansen
抱我	carry me
肩扛	carrying over shoulder
腋下夹持	carrying under arm
胸部站立	chest stand
爪子姿势	claw pose
紧握的手	clenched hand
紧握的双手	clenched hands
衣服提起	clothes lift
衣服拉扯	clothes pull
方便手臂	convenient arm
方便头部	convenient head
方便腿部	convenient leg
畏缩	cowering
爬行	crawling
脚踝交叉	crossed ankles
双臂交叉	crossed arms
双手交握	crossed fingers
十字架姿势	crucifixion
依偎	cuddling
合掌	cupping hands
屈膝礼	curtsey
双V手势	double v
衣服提起	dress lift
脱衣	dress removed
拉扯衣服	dress tug
擦干头发	drying hair
双持	dual wielding
脸栽	faceplant
喂食	feeding
胎儿姿势	fetal position
坐立不安	fidgeting
手指比心	fig sign
战斗姿势	fighting stance
四脚坐姿	figure four sitting
手指计数	finger counting
手指框	finger frame
手指枪	finger gun
手指心	finger heart
撞拳	fist bump
握拳在手	fist in hand
挥动	flapping
狐狸剪影	fox shadow puppet
蝎子全姿势	full scorpion
扑抱	glomp
抓头发	grabbing another's hair
抓住	grabbing
甩发	hair flip
收发	hair tucking
转发	hair twirling
手夹腿	hand between legs
手势眼镜	hand glasses
手在头发里	hand in hair
手插兜	hand in pocket
手按脸颊	hand on another's cheek
手按下巴	hand on another's chin
手搭手	hand on another's hand
手按头	hand on another's head
手按脖子	hand on another's neck
手按肩	hand on another's shoulder
手按肚子	hand on another's stomach
手按某处	hand on another's
手按耳朵	hand on ear
手按头饰	hand on headwear
手按臀部	hand on hip
摸自己屁股	hand on own ass
摸自己脸颊	hand on own cheek
摸自己胸口	hand on own chest
摸自己脸	hand on own face
摸自己额头	hand on own forehead
摸自己头	hand on own head
摸自己膝盖	hand on own knee
摸自己脖子	hand on own neck
摸自己肩	hand on own shoulder
摸自己肚子	hand on own stomach
手按嘴	hand to own mouth
双手插兜	hands in pockets
手按别人脸	hands on another's face
手按屁股	hands on ass
手按脚	hands on feet
手按臀部	hands on hips
摸自己脸	hands on own face
摸自己膝盖	hands on own knees
倒立	handstand
帽礼	hat tip
头后仰	head back
低头	head down
头靠	head rest
头侧倾	head tilt
头顶地	headstand
爱心臂	heart arms
双手爱心	heart hands duo
三只手心对心	heart hands trio
双手心对心	heart hands
双尾心形	heart tail duo
单尾心形	heart tail
举高五指	high five
持箭	holding arrow
戴眼镜	holding eyewear
拿花	holding flower
牵手	holding hands
持带子	holding strap
持注射器	holding syringe
持鞭子	holding whip
角状姿势	horns pose
抱腿	hugging own legs
驼背	humpbacked
竖大拇指	index finger raised
印度式	indian style
内侧V手势	inward v
跳跃	jumping
卡米娜姿势	kamina pose
咬颈	kissing neck
跪姿	kneeling
抱膝	knees to chest
九字连环	kuji-in
后仰	leaning back
